Date,max_temp,mean_temp,min_temp,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,percipitation, CloudCover, Events, WindDirDegrees<br>
9/1/2014,86,80,74,73,72,70,88,73,57,30.02,29.98,29.93,10,10,10,16,9,21,0,6,Rain,206<br>
9/2/2014,92,83,74,74,72,67,94,72,49,29.94,29.88,29.81,10,10,8,25,11,31,0,4,,205<br>
9/3/2014,88,80,72,69,60,51,76,53,29,30.12,29.99,29.84,10,10,10,21,9,25,0,5,,297<br>
9/4/2014,85,77,68,69,62,58,87,66,44,30.21,30.17,30.12,10,10,10,21,9,25,0,2,Fog,163<br>
9/5/2014,85,78,71,74,71,68,94,80,65,30.19,30.13,30.03,10,10,10,18,10,22,0,4,,204<br>
9/6/2014,86,77,68,74,71,66,94,78,62,30.01,29.93,29.85,10,10,7,23,11,28,0.04,6,Rain-Thunderstorm,229<br>
9/7/2014,82,74,66,64,57,50,78,57,36,30.2,30.07,29.94,10,10,10,18,7,23,0,6,,7<br>
9/8/2014,78,72,65,62,56,52,78,61,43,30.33,30.28,30.2,10,10,10,18,11,24,0,6,,64<br>
9/9/2014,75,70,64,61,57,51,73,66,58,30.29,30.22,30.16,10,10,10,17,11,25,0,7,,55<br>
9/10/2014,78,71,63,63,59,56,84,66,47,30.14,30.1,30.04,10,10,10,13,8,16,0,5,,89<br>
9/11/2014,85,77,69,70,66,59,84,73,61,30.03,29.92,29.83,10,10,10,22,13,26,0,6,,202<br>
9/12/2014,79,71,63,56,51,48,68,52,36,30.19,30.09,29.96,10,10,10,18,11,23,0,5,,17<br>
9/13/2014,70,65,60,63,57,50,93,77,61,30.19,30.15,30.1,10,9,2,24,11,29,0.29,7,Rain,48<br>
9/14/2014,72,63,54,54,47,40,78,55,31,30.28,30.22,30.16,10,10,10,18,9,23,0,4,,328<br>
9/15/2014,71,63,55,53,46,39,77,55,33,30.25,30.18,30.09,10,10,10,14,8,17,0,3,,285<br>
9/16/2014,67,64,60,59,57,54,90,79,67,30.09,30.02,29.98,10,9,4,8,5,9,0.26,7,Rain,214<br>
9/17/2014,73,64,55,53,48,40,86,58,29,30.07,30.02,29.96,10,10,10,15,6,21,0,2,,284<br>
9/18/2014,78,68,57,56,50,43,78,55,31,30.11,30.01,29.97,10,10,10,16,6,22,0,2,,263<br>
9/19/2014,67,62,56,51,46,40,75,60,44,30.39,30.3,30.12,10,10,10,18,11,23,0,3,,68<br>
9/20/2014,75,65,54,65,57,49,84,69,53,30.35,30.23,30.07,10,10,10,21,9,25,0.37,6,,132<br>
9/21/2014,77,72,67,70,67,64,97,88,79,30.05,29.83,29.62,10,8,1,16,5,22,0.21,7,Rain,142<br>
9/22/2014,73,64,55,67,49,37,73,56,38,30.18,29.89,29.65,10,10,9,25,16,31,0,5,Rain,295<br>
9/23/2014,69,60,51,54,44,37,72,58,43,30.42,30.31,30.19,10,10,10,14,6,20,0,3,,255<br>
9/24/2014,72,64,56,57,53,47,86,64,41,30.56,30.51,30.43,10,10,10,20,10,23,0,6,,62<br>
9/25/2014,64,62,60,59,55,51,90,77,63,30.48,30.33,30.22,10,9,6,22,15,28,0.23,7,Rain,37<br>
9/26/2014,79,69,59,55,51,43,84,58,31,30.22,30.19,30.16,10,10,10,18,8,23,0,2,,17<br>
9/27/2014,84,73,62,62,56,52,81,58,34,30.22,30.19,30.17,10,10,10,14,7,18,0,0,,356<br>
9/28/2014,78,70,62,63,61,59,93,74,54,30.18,30.12,30.03,10,10,10,15,7,20,0,4,,198<br>
9/29/2014,78,71,64,64,62,58,87,71,54,30.02,29.96,29.91,10,10,10,14,5,16,0,7,Rain,214<br>
9/30/2014,70,66,62,63,60,56,93,77,61,30,29.96,29.93,10,9,4,12,6,15,0.03,7,Rain,59<br>
