,yellow_trips,green_trips,citibike_trips,uber_trips,weekday
2014-09-01,319157,35949,23575,19961,Monday
2014-09-02,408333,37020,30507,28831,Tuesday
2014-09-03,441040,39511,35535,32631,Wednesday
2014-09-04,469500,43408,36496,38360,Thursday
2014-09-05,496714,50318,34831,42319,Friday
2014-09-06,503100,59539,25833,40520,Saturday
2014-09-07,445959,48649,29721,30134,Sunday
2014-09-08,430611,37058,34335,30360,Monday
2014-09-09,450763,37740,34518,34560,Tuesday
2014-09-10,466592,39791,37653,35910,Wednesday
2014-09-11,478607,42897,37081,36439,Thursday
2014-09-12,486929,51488,37204,39540,Friday
2014-09-13,513501,64251,17293,43205,Saturday
2014-09-14,450849,51732,28688,28122,Sunday
2014-09-15,421980,37454,35045,29454,Monday
2014-09-16,447618,39691,25633,36092,Tuesday
2014-09-17,451216,39602,37453,35531,Wednesday
2014-09-18,464358,43947,37381,40274,Thursday
2014-09-19,488834,52171,34713,41017,Friday
2014-09-20,492576,60289,30011,38864,Saturday
2014-09-21,402953,50583,26080,28620,Sunday
2014-09-22,393656,37175,33239,28312,Monday
2014-09-23,401123,38541,36347,30316,Tuesday
2014-09-24,416770,40411,35481,31301,Wednesday
2014-09-25,426440,43302,16650,38203,Thursday
2014-09-26,448361,49728,35116,37504,Friday
2014-09-27,486921,61333,30193,39468,Saturday
2014-09-28,433820,51884,29021,29656,Sunday
2014-09-29,400318,37704,33161,29201,Monday
2014-09-30,435417,38727,35093,33431,Tuesday
