,yellow cab,green cab,citibike,uber,weekday
2014-09-01,27956,3677,942,1326,Monday
2014-09-02,35752,3425,1106,1821,Tuesday
2014-09-03,44856,3962,1384,2498,Wednesday
2014-09-04,53869,4900,1577,3491,Thursday
2014-09-05,60525,7112,1395,5057,Friday
2014-09-06,62430,8685,834,5683,Saturday
2014-09-07,33598,3925,1242,1791,Sunday
2014-09-08,39835,3048,1269,1707,Monday
2014-09-09,46680,3684,1395,2287,Tuesday
2014-09-10,50618,3982,1499,2532,Wednesday
2014-09-11,53969,4667,1785,3032,Thursday
2014-09-12,61003,7607,1291,5196,Friday
2014-09-13,57478,8009,826,5036,Saturday
2014-09-14,31617,4124,1000,1517,Sunday
2014-09-15,37753,3237,1135,1593,Monday
2014-09-16,43953,3641,1198,1880,Tuesday
2014-09-17,49591,3998,1392,2454,Wednesday
2014-09-18,56191,5103,1573,3744,Thursday
2014-09-19,61346,7864,1319,5008,Friday
2014-09-20,57174,7856,1509,5247,Saturday
2014-09-21,31479,3987,1014,1503,Sunday
2014-09-22,39740,3244,998,1728,Monday
2014-09-23,45784,3969,1278,2159,Tuesday
2014-09-24,45962,4216,1259,2103,Wednesday
2014-09-25,51052,4706,1158,2782,Thursday
2014-09-26,59053,7382,1468,4902,Friday
2014-09-27,59207,8381,1526,5619,Saturday
2014-09-28,30047,4039,1042,1630,Sunday
2014-09-29,36495,3133,1215,1712,Monday
2014-09-30,45260,3847,1234,1347,Tuesday
