,yellow cab,green cab,citibike,uber,weekday
2014-09-01,58296,6471,5815,4083,Monday
2014-09-02,65606,7084,9030,6184,Tuesday
2014-09-03,67232,7538,9826,7213,Wednesday
2014-09-04,65865,7787,9888,8371,Thursday
2014-09-05,68118,9267,9245,8819,Friday
2014-09-06,71966,9358,5722,8246,Saturday
2014-09-07,69751,7714,7443,6115,Sunday
2014-09-08,70680,6952,9919,6596,Monday
2014-09-09,67294,7153,9283,7575,Tuesday
2014-09-10,68429,7463,10428,8136,Wednesday
2014-09-11,68764,8194,9883,8407,Thursday
2014-09-12,66650,9394,10262,7982,Friday
2014-09-13,74690,10383,2136,9541,Saturday
2014-09-14,69865,8070,7571,5601,Sunday
2014-09-15,70935,6751,10531,6726,Monday
2014-09-16,68798,7345,9011,7899,Tuesday
2014-09-17,66989,7531,10215,8095,Wednesday
2014-09-18,63842,8509,10223,9097,Thursday
2014-09-19,66658,9226,9362,8675,Friday
2014-09-20,69711,9515,6999,7834,Saturday
2014-09-21,51007,7775,6707,5049,Sunday
2014-09-22,62203,6827,9520,5784,Monday
2014-09-23,55078,7228,10361,6473,Tuesday
2014-09-24,61625,7911,9674,6739,Wednesday
2014-09-25,62839,7895,5700,7553,Thursday
2014-09-26,64510,9415,9861,8015,Friday
2014-09-27,68018,9433,7058,7831,Saturday
2014-09-28,64717,8038,7468,5576,Sunday
2014-09-29,69508,7327,9317,5920,Monday
2014-09-30,68397,7464,9554,7717,Tuesday
